Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	20718	67371	1211652	11621	2889	1279023
Tue Jun 9 2020	23755	66000	1192305	11460	2851	1258305
Mon Jun 8 2020	18392	64904	1169646	11282	2798	1234550
Sun Jun 7 2020	41973	63938	1152220	11215	2786	1216158
Sat Jun 6 2020	39245	62758	1111427	11163	2773	1174185
Fri Jun 5 2020	27897	61488	1073452	11066	2745	1134940
Thu Jun 4 2020	26130	60183	1046860	10923	2691	1107043
Wed Jun 3 2020	31161	58764	1022149	10796	2650	1080913
Tue Jun 2 2020	9352	57447	992305	10678	2613	1049752
Mon Jun 1 2020	19051	56830	983570	10494	2543	1040400
Sun May 31 2020	26381	56163	965186	10453	2534	1021349
Sat May 30 2020	11729	55424	939544	10375	2530	994968
Fri May 29 2020	31623	54497	928742	10243	2495	983239
Thu May 28 2020	18045	53285	898331	10056	2446	951616
Wed May 27 2020	10347	52634	880937	9899	2400	933571
Tue May 26 2020	14989	52255	870969	9740	2338	923224
Mon May 25 2020	37000	51746	856489	9681	2331	908235
Sun May 24 2020	14798	50867	820368	9638	2316	871235
Sat May 23 2020	20941	50127	806310	9567	2312	856437
Fri May 22 2020	21567	49451	786045	9372	2268	835496
Thu May 21 2020	42581	48675	765254	9200	2222	813929
Wed May 20 2020	55493	47471	723877	8934	2173	771348
Tue May 19 2020	39443	46944	668911	8744	2129	715855
Mon May 18 2020	24620	46442	629970	8553	2073	676412
Sun May 17 2020	21745	45588	606204	8478	2049	651792
Sat May 16 2020	21210	44811	585236	8393	2040	630047
Thu May 14 2020	14074	43210	565627	7993	1948	608837
Wed May 13 2020	15159	42402	552361	7835	1898	594763
Tue May 12 2020	18547	41923	537681	7654	1849	579604
Mon May 11 2020	22109	40982	520075	7458	1805	561057
Sun May 10 2020	11217	40596	498352	7404	1791	538948
Sat May 9 2020	14390	40001	487730	7325	1785	527731
Fri May 8 2020	20391	39199	474142	7157	1738	513341
Thu May 7 2020	12899	38828	454122	6990	1667	492950
Wed May 6 2020	14360	38002	442049	6776	1605	480051
Tue May 5 2020	21421	37439	428252	6546	1536	465691
Mon May 4 2020	16081	36897	407373	6329	1423	444270
Sun May 3 2020	12177	36078	392111	6244	1403	428189
Sat May 2 2020	13313	35463	380549	5945	1388	416012
Fri May 1 2020	29211	34728	367971	5795	1314	402699
Wed Apr 29 2020	6613	33193	340295	5624	1240	373488
Tue Apr 28 2020	10412	32846	334029	5266	1154	366875
Mon Apr 27 2020	11850	32138	324325	5211	1101	356463
Sun Apr 26 2020	11514	31528	313085	5155	1094	344613
Sat Apr 25 2020	16140	30839	302260	5045	1075	333099
Fri Apr 24 2020	20251	30174	286785	4888	1031	316959
Thu Apr 23 2020	8081	28832	267876	4693	979	296708
Wed Apr 22 2020	11568	28309	260318	4469	910	288627
Tue Apr 21 2020	10834	27495	249564	4235	856	277059
Mon Apr 20 2020	10146	26660	239565	4010	806	266225
Sun Apr 19 2020	9552	25996	230083	3930	781	256079
Sat Apr 18 2020	11690	25269	221258	3842	754	246527
Fri Apr 17 2020	15589	24119	210718	3665	699	234837
Thu Apr 16 2020	5739	22897	196351	3460	646	219248
Wed Apr 15 2020	10329	22511	190998	3344	609	213509
Tue Apr 14 2020	6973	21367	181813	3060	537	203180
Mon Apr 13 2020	13454	20601	175606	2833	483	196207
Sun Apr 12 2020	9820	19355	163398	2772	465	182753
Sat Apr 11 2020	10103	18494	154439	2661	438	172933
Fri Apr 10 2020	10281	17531	145299	2487	390	162830
Thu Apr 9 2020	9415	16364	136185	2268	354	152549
Wed Apr 8 2020	4972	15455	127679	2062	309	143134
Tue Apr 7 2020	14888	14747	123415	1999	296	138162
Mon Apr 6 2020	9870	13324	109950	1682	236	123274
Sun Apr 5 2020	11337	12151	101253	1572	218	113404
Sat Apr 4 2020	10345	11111	90956	1462	191	102067
Fri Apr 3 2020	14426	9585	82137	1287	163	91722
Thu Apr 2 2020	10812	8010	69286	1123	128	77296
Wed Apr 1 2020	5861	6955	59529	949	87	66484
Tue Mar 31 2020	6925	6338	54285	823	77	60623
Mon Mar 30 2020	10382	5473	48225	652	63	53698
Sun Mar 29 2020	4187	4246	39070	594	56	43316
Sat Mar 28 2020	8178	3763	35366	526	54	39129
Fri Mar 27 2020	4855	2765	28186	456	34	30951
Thu Mar 26 2020	9040	2355	23741	406	28	26096
Wed Mar 25 2020	2517	1682	15374	316	22	17056
Tue Mar 24 2020	2305	1412	13127	259	18	14539
Mon Mar 23 2020	3414	1171	11063	217	14	12234
Sun Mar 22 2020	1583	830	7990	185	13	8820
Sat Mar 21 2020	4847	658	6579	158	12	7237
Fri Mar 20 2020	467	520	1870	0	10	2390
Thu Mar 19 2020	384	390	1533	0	8	1923
Wed Mar 18 2020	413	314	1225	0	7	1539
Tue Mar 17 2020	301	186	940	0	6	1126
Mon Mar 16 2020	31	141	684	0	4	825
Sun Mar 15 2020	239	116	678	0	4	794
Sat Mar 14 2020	27	77	478	0	3	555
