Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	13772	53980	516975	8974	2329	570955
Tue Jun 9 2020	7808	53249	503934	8872	2285	557183
Mon Jun 8 2020	9491	52497	496878	8746	2208	549375
Sun Jun 7 2020	17027	51898	487986	8685	2180	539884
Sat Jun 6 2020	15069	51309	471548	8662	2174	522857
Fri Jun 5 2020	11457	50621	457167	8646	2174	507788
Thu Jun 4 2020	13619	49847	446484	8557	2147	496331
Wed Jun 3 2020	8425	48894	433818	8419	2123	482712
Tue Jun 2 2020	2656	48207	426080	8334	2102	474287
Mon Jun 1 2020	6106	47618	424013	8127	2074	471631
Sun May 31 2020	10687	46986	418539	7946	2042	465525
Sat May 30 2020	4567	46286	408552	7921	2003	454838
Fri May 29 2020	5625	45670	404601	7852	1974	450271
Thu May 28 2020	3890	45070	399576	7767	1962	444646
Thu May 27 2020 3646    44421   396335  7666    1907    440756
Tue May 26 2020	1400	43730	471215	7547	1871	514945
Mon May 25 2020	31591	43344	470201	7475	1830	513545
Sun May 24 2020	28417	42838	439116	7439	1824	481954
Sat May 23 2020	26288	42132	411405	7411	1811	453537
Fri May 22 2020	19518	41218	386031	7313	1785	427249
Thu May 21 2020	4791	40405	367326	7235	1754	407731
Wed May 20 2020	24784	39647	363293	7107	1687	402940
Tue May 19 2020	13867	38721	339435	7027	1664	378156
Mon May 18 2020	13114	38081	326208	6916	1642	364289
Sun May 17 2020	30106	37701	313474	6790	1606	351175
Sat May 16 2020	19195	37147	283922	6735	1592	321069
Fri May 15 2020	15993	36681	265193	6438	1557	301874
Thu May 14 2020	11977	35858	250023	6345	1527	285881
Wed May 13 2020	11725	35332	238572	6259	1505	273904
Tue May 12 2020	10891	34635	227544	6130	1461	262179
Mon May 11 2020	7741	33927	217361	6015	1441	251288
Sun May 10 2020	8223	33441	210106	5997	1405	243547
Sat May 9 2020	7757	32532	202792	5987	1400	235324
Fri May 8 2020	10264	32106	195461	5935	1377	227567
Thu May 7 2020	13166	31439	185864	5835	1336	217303
Wed May 6 2020	3254	30696	173441	5765	1311	204137
Tue May 5 2020	17558	29711	171172	5634	1288	200883
Mon May 4 2020	8229	29368	153957	5526	1222	183325
Sun May 3 2020	296	28602	146494	5393	1177	175096
Sat May 2 2020	6433	28306	146494	5387	1174	174800
Fri May 1 2020	19323	27270	141097	5269	1154	168367
Thu Apr 30 2020	5105	26155	122889	5156	1120	149044
Wed Apr 29 2020	3919	25572	118367	5056	1093	143939
Tue Apr 28 2020	12851	24615	115405	4814	1026	140020
Mon Apr 27 2020	3946	23913	103256	4681	971	127169
Sun Apr 26 2020	4209	23401	99822	4359	912	123223
Sat Apr 25 2020	11838	22695	96319	4326	904	119014
Fri Apr 24 2020	6114	22147	85029	4221	892	107176
Thu Apr 23 2020	6990	21512	79550	4069	872	101062
Wed Apr 22 2020	5932	20740	73332	3959	836	94072
Tue Apr 21 2020	3812	19881	68259	3779	799	88140
Mon Apr 20 2020	4395	18947	65381	3550	733	84328
Sun Apr 19 2020	5725	18301	61632	3464	687	79933
Sat Apr 18 2020	2524	17669	56539	3420	673	74208
Fri Apr 17 2020	3745	17194	54490	3324	650	71684
Thu Apr 16 2020	3849	15669	52270	3108	587	67939
Wed Apr 15 2020	2295	14987	49103	2922	552	64090
Tue Apr 14 2020	4774	14223	47572	2769	501	61795
Mon Apr 13 2020	2568	13315	43706	2589	464	57021
Sun Apr 12 2020	2738	12452	42001	2505	433	54453
Sat Apr 11 2020	5568	12159	39556	2479	428	51715
Fri Apr 10 2020	5062	11483	34664	2351	416	46147
Thu Apr 9 2020	2298	10566	30519	2159	379	41085
Wed Apr 8 2020	5074	9901	28886	1993	362	38787
Tue Apr 7 2020	2439	8818	24895	1774	329	33713
Mon Apr 6 2020	3442	7314	23960	1332	229	31274
Sun Apr 5 2020	1538	6647	21185	1283	211	27832
Sat Apr 4 2020	1029	6160	20134	1239	201	26294
Fri Apr 3 2020	2308	5831	19434	1158	184	25265
Thu Apr 2 2020	2631	5348	17609	1056	163	22957
Wed Apr 1 2020	4145	4638	15688	952	139	20326
Tue Mar 31 2020	3457	3929	12252	833	111	16181
Mon Mar 30 2020	160	2809	9915	707	87	12724
Sun Mar 29 2020	1513	2651	9913	666	80	12564
Sat Mar 28 2020	1186	2366	8685	617	69	11051
Fri Mar 27 2020	939	2001	7864	566	64	9865
Thu Mar 26 2020	2747	1525	7401	473	48	8926
Wed Mar 25 2020	695	1247	4932	394	40	6179
Tue Mar 24 2020	415	1026	4458	0	32	5484
Mon Mar 23 2020	1049	772	4297	0	25	5069
Sun Mar 22 2020	956	600	3420	0	23	4020
Sat Mar 21 2020	678	507	2557	0	14	3064
Fri Mar 20 2020	555	420	1966	0	13	2386
Thu Mar 19 2020	323	287	1544	0	10	1831
Wed Mar 18 2020	1362	197	1311	0	1	1508
