Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	10098	104156	567934	10582	7454	672090
Tue Jun 9 2020	4723	103889	558103	10507	7408	661992
Mon Jun 8 2020	4779	103626	553643	10425	7353	657269
Sun Jun 7 2020	7851	103436	549054	10393	7316	652490
Sat Jun 6 2020	9870	103132	541507	10369	7289	644639
Fri Jun 5 2020	9834	102557	532212	10303	7235	634769
Thu Jun 4 2020	7174	102063	522872	10238	7201	624935
Wed Jun 3 2020	8366	101592	516169	10151	7152	617761
Tue Jun 2 2020	16542	101163	508232	10063	7085	609395
Sun May 31 2020	10334	96965	495888	9823	6846	592853
Sat May 30 2020	10774	96301	486218	9789	6768	582519
Fri May 29 2020	9422	95512	476233	9725	6718	571745
Thu May 28 2020	16842	94895	467428	9618	6640	562323
Tue May 26 2020	4920	93693	451788	9388	6473	545481
Mon May 25 2020	8188	93271	447290	9339	6416	540561
Sun May 24 2020	11387	92675	439698	9308	6372	532373
Sat May 23 2020	9342	91662	429324	9260	6304	520986
Fri May 22 2020	10158	90889	420755	9162	6228	511644
Thu May 21 2020	11533	90084	411402	9040	6148	501486
Wed May 20 2020	13013	88970	400983	8897	6066	489953
Tue May 19 2020	16114	87925	389015	8766	5938	476940
Sun May 17 2020	12737	86010	374816	8539	5797	460826
Sat May 16 2020	12410	84933	363156	8456	5705	448089
Fri May 15 2020	11318	83421	352258	8314	5592	435679
Thu May 14 2020	14329	82182	342179	8207	5482	424361
Wed May 13 2020	8536	80497	329535	8032	5315	410032
Tue May 12 2020	6768	79332	322164	7842	5141	401496
Mon May 11 2020	6339	78462	316266	7732	5108	394728
Sun May 10 2020	11852	77793	310596	7617	4979	388389
Sat May 9 2020	10514	76743	299794	7551	4840	376537
Fri May 8 2020	14391	75333	290690	7434	4702	366023
Thu May 7 2020	11993	73721	277911	7237	4552	351632
Wed May 6 2020	6290	72025	267614	7080	4420	339639
Tue May 5 2020	9081	70271	263078	6831	4212	333349
Mon May 4 2020	9622	69087	255181	6622	4090	324268
Sun May 3 2020	15652	68087	246559	6507	4004	314646
Sat May 2 2020	9358	66263	232731	6378	3846	298994
Fri May 1 2020	13989	64311	225325	6169	3716	289636
Thu Apr 30 2020	10029	62205	213442	5942	3562	275647
Wed Apr 29 2020	11118	60265	205353	5758	3405	265618
Tue Apr 28 2020	9613	58302	196198	5515	3153	254500
Mon Apr 27 2020	8787	56462	188425	5237	3003	244887
Sun Apr 26 2020	9255	54938	181162	5104	2899	236100
Sat Apr 25 2020	11632	53348	173497	4965	2877	226845
Fri Apr 24 2020	10897	50969	164244	4752	2877	215213
Thu Apr 23 2020	14614	47992	156324	4493	2769	204316
Wed Apr 22 2020	5090	44913	144789	4256	2597	189702
Tue Apr 21 2020	7150	43168	141444	4009	2449	184612
Mon Apr 20 2020	8347	41416	136046	3872	2303	177462
Sun Apr 19 2020	16795	39820	129295	3789	2146	169115
Fri Apr 17 2020	9730	35125	117195	3756	1822	152320
Thu Apr 16 2020	9830	32492	110098	3726	1667	142590
Wed Apr 15 2020	5831	29970	102790	3637	1502	132760
Tue Apr 14 2020	4635	28109	98820	3616	1329	126929
Mon Apr 13 2020	5450	26794	95500	3485	1211	122294
Sun Apr 12 2020	7963	25381	91463	2514	1056	116844
Sat Apr 11 2020	6439	22766	86115	2507	946	108881
Fri Apr 10 2020	7453	20878	81564	2435	832	102442
Thu Apr 9 2020	7448	18843	76146	2302	725	94989
Wed Apr 8 2020	6167	16692	70849	2119	615	87541
Tue Apr 7 2020	4915	15104	66270	1831	515	81374
Mon Apr 6 2020	4492	13739	62720	1667	448	76459
Sun Apr 5 2020	3139	12402	59565	1632	370	71967
Sat Apr 4 2020	5840	11637	57191	1370	304	68828
Fri Apr 3 2020	6354	10303	52685	966	265	62988
Thu Apr 2 2020	4870	8867	47767	813	229	56634
Wed Apr 1 2020	4803	7639	44125	682	187	51764
Tue Mar 31 2020	4142	6521	40440	562	153	46961
Mon Mar 30 2020	3729	5653	37166	453	124	42819
Sun Mar 29 2020	4017	4856	34234	399	99	39090
Sat Mar 28 2020	5678	4158	30915	350	72	35073
Fri Mar 27 2020	9577	3151	26244	219	57	29395
Wed Mar 25 2020	6044	1739	18079	103	33	19818
Tue Mar 24 2020	4833	1060	12714	94	26	13774
Mon Mar 23 2020	2918	678	8263	79	17	8941
Sun Mar 22 2020	798	547	5476	71	11	6023
Sat Mar 21 2020	1116	426	4799	61	7	5225
Fri Mar 20 2020	962	314	3795	0	5	4109
Thu Mar 19 2020	876	229	2918	0	3	3147
Wed Mar 18 2020	520	156	2115	0	2	2271
Tue Mar 17 2020	455	118	1633	0	0	1751
Mon Mar 16 2020	648	97	1199	0	0	1296
Sun Mar 15 2020	610	64	584	0	0	648
Sat Mar 14 2020	15	38	0	0	0	38
