Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	6560	59465	325177	9755	2844	384642
Tue Jun 9 2020	6579	58904	319178	9676	2811	378082
Mon Jun 8 2020	6700	58404	313099	9629	2776	371503
Sun Jun 7 2020	7427	57973	306830	9546	2749	364803
Sat Jun 6 2020	9650	57482	299894	9451	2740	357376
Fri Jun 5 2020	10708	56770	290956	9346	2702	347726
Thu Jun 4 2020	9393	55858	281160	9217	2668	337018
Wed Jun 3 2020	11810	54982	272643	9111	2666	327625
Tue Jun 2 2020	7085	54175	261640	8957	2646	315815
Mon Jun 1 2020	6849	53327	255403	8886	2625	308730
Sun May 31 2020	7935	52778	249103	8738	2532	301881
Sat May 30 2020	9428	52015	241931	8619	2509	293946
Fri May 29 2020	9660	50988	233530	8479	2466	284518
Thu May 28 2020	12803	49709	225149	8392	2428	274858
Wed May 27 2020	7568	48423	213632	8281	2392	262055
Tue May 26 2020	4910	47687	206800	8179	2333	254487
Mon May 25 2020	9215	47152	202425	8092	2302	249577
Sun May 24 2020	8035	46313	194049	7939	2277	240362
Sat May 23 2020	4425	45495	186832	7825	2243	232327
Fri May 22 2020	7669	44424	183478	7634	2207	227902
Thu May 21 2020	4903	43531	176702	7485	2159	220233
Wed May 20 2020	6672	42323	173007	7393	2123	215330
Tue May 19 2020	7152	41546	167112	7199	2081	208658
Mon May 18 2020	6580	39762	161744	7086	2023	201506
Sun May 17 2020	4751	38804	156122	6993	1992	194926
Sat May 16 2020	7349	37968	152207	6755	1957	190175
Fri May 15 2020	4372	36986	145840	6679	1911	182826
Thu May 14 2020	4880	35903	142551	6553	1866	178454
Wed May 13 2020	4071	34812	138762	6404	1809	173574
Tue May 12 2020	4723	34061	135442	6287	1756	169503
Mon May 11 2020	4849	33373	131407	6183	1683	164780
Sun May 10 2020	3903	32587	127344	5955	1644	159931
Sat May 9 2020	3841	31534	124494	5932	1614	156028
Fri May 8 2020	3587	30485	121702	5811	1560	152187
Thu May 7 2020	4588	29374	119226	5663	1503	148600
Wed May 6 2020	3909	28163	115849	5497	1437	144012
Tue May 5 2020	3108	27117	112986	5337	1390	140103
Mon May 4 2020	4201	26408	110587	5199	1317	136995
Sun May 3 2020	7272	25462	107332	5051	1281	132794
Sat May 2 2020	4539	24473	101049	4910	1251	125522
Fri May 1 2020	6624	23472	97511	4718	1192	120983
Thu Apr 30 2020	3430	21742	92617	4559	1140	114359
Wed Apr 29 2020	3144	20849	90080	4402	1078	110929
Tue Apr 28 2020	2809	20113	87672	4268	1016	107785
Mon Apr 27 2020	8311	19487	85489	4101	945	104976
Sun Apr 26 2020	7542	18581	78084	3962	910	96665
Sat Apr 25 2020	4407	17766	71357	3760	875	89123
Fri Apr 24 2020	4616	16616	68100	3618	798	84716
Thu Apr 23 2020	3571	15737	64363	3477	748	80100
Wed Apr 22 2020	2894	14775	61754	3325	698	76529
Tue Apr 21 2020	2238	14193	59442	3158	652	73635
Mon Apr 20 2020	3506	13684	57713	3014	582	71397
Sun Apr 19 2020	2521	12830	55061	2886	548	67891
Sat Apr 18 2020	3361	12308	53062	2757	534	65370
Fri Apr 17 2020	3166	11572	50437	2612	494	62009
Thu Apr 16 2020	3080	10784	48059	2451	459	58843
Wed Apr 15 2020	2030	10032	45731	2231	413	55763
Tue Apr 14 2020	1982	9472	44261	2122	302	53733
Mon Apr 13 2020	1987	8936	42815	1975	262	51751
Sun Apr 12 2020	2526	8225	41539	1860	235	49764
Sat Apr 11 2020	2790	7694	39544	1709	206	47238
Fri Apr 10 2020	2919	6968	37480	1413	171	44448
Thu Apr 9 2020	3067	6185	35344	1348	138	41529
Wed Apr 8 2020	6835	5529	32933	1210	124	38462
Tue Apr 7 2020	2010	4371	27256	1106	103	31627
Mon Apr 6 2020	1280	4045	25572	1059	91	29617
Sun Apr 5 2020	2727	3609	24728	936	67	28337
Sat Apr 4 2020	1920	3125	22485	821	53	25610
Fri Apr 3 2020	2469	2758	20932	664	42	23690
Thu Apr 2 2020	2003	2331	18890	582	36	21221
Wed Apr 1 2020	2690	1985	17233	522	31	19218
Tue Mar 31 2020	1799	1660	14868	429	18	16528
Mon Mar 30 2020	1136	1413	13316	353	15	14729
Sun Mar 29 2020	1085	1239	12354	277	10	13593
Sat Mar 28 2020	11834	992	11516	226	5	12508
Wed Mar 25 2020	74	423	94	0	4	517
Tue Mar 24 2020	61	349	94	0	3	443
Mon Mar 23 2020	44	288	94	0	3	382
Sun Mar 22 2020	54	244	94	0	3	338
Sat Mar 21 2020	41	190	94	0	2	284
Fri Mar 20 2020	42	149	94	0	1	243
Thu Mar 19 2020	22	107	94	0	1	201
