Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	8804	28869	340926	3482	1267	369795
Tue Jun 9 2020	6765	28523	332468	3441	1228	360991
Mon Jun 8 2020	10023	28224	326002	3401	1208	354226
Sun Jun 7 2020	10719	27886	316317	3367	1197	344203
Sat Jun 6 2020	11144	27501	305983	3336	1181	333484
Fri Jun 5 2020	46718	26980	295360	3289	1159	322340
Thu Jun 4 2020	9904	26273	249349	3253	1126	275622
Wed Jun 3 2020	6971	25870	239848	3203	1097	265718
Tue Jun 2 2020	3155	25508	233239	3134	1082	258747
Mon Jun 1 2020	6073	25208	230384	3086	1060	255592
Sun May 31 2020	7011	24850	224669	3047	1050	249519
Sat May 30 2020	8635	24190	218318	3011	1036	242508
Fri May 29 2020	8665	23531	210342	2936	1006	233873
Thu May 28 2020	8676	22947	202261	2880	977	225208
Wed May 27 2020	6634	22464	194068	2796	942	216532
Tue May 26 2020	5839	21960	187938	2709	908	209898
Mon May 25 2020	6095	21315	182744	2676	890	204059
Sun May 24 2020	8471	20573	177391	2588	878	197964
Sat May 23 2020	8522	19845	169648	2534	861	189493
Fri May 22 2020	7415	19005	161966	2432	851	180971
Thu May 21 2020	6218	18200	155356	2380	818	173556
Wed May 20 2020	5503	17670	149668	2308	786	167338
Tue May 19 2020	5229	17029	144806	2221	757	161835
Mon May 18 2020	6021	16372	140234	2128	740	156606
Sun May 17 2020	7304	15668	134917	2090	731	150585
Sat May 16 2020	8612	14969	128312	2039	709	143281
Fri May 15 2020	5917	14240	120429	1985	692	134669
Thu May 14 2020	6717	13435	115317	1915	663	128752
Wed May 13 2020	1201	12917	109118	1851	638	122035
Tue May 12 2020	5053	12494	108340	1799	614	120834
Mon May 11 2020	4693	11799	103982	1716	591	115781
Sun May 10 2020	4825	11271	99817	1657	578	111088
Sat May 9 2020	4993	10790	95473	1612	558	106263
Fri May 8 2020	3849	10088	91182	1549	534	101270
Thu May 7 2020	4189	9365	88056	1459	508	97421
Wed May 6 2020	5223	8579	84653	1405	485	93232
Tue May 5 2020	2068	7851	80158	1350	455	88009
Mon May 4 2020	3309	7234	78707	1271	428	85941
Sun May 3 2020	3625	6663	75969	1199	419	82632
Sat May 2 2020	4178	6228	72779	1159	395	79007
Fri May 1 2020	4553	5730	69099	1096	371	74829
Thu Apr 30 2020	3532	5136	65140	1044	343	70276
Wed Apr 29 2020	2915	4644	62100	950	319	66744
Tue Apr 28 2020	2561	4181	59648	912	301	63829
Mon Apr 27 2020	2281	3816	57452	861	286	61268
Sun Apr 26 2020	2390	3602	55385	829	272	58987
Sat Apr 25 2020	2810	3446	53151	797	244	56597
Fri Apr 24 2020	2239	3185	50602	756	221	53787
Thu Apr 23 2020	2204	2942	48606	712	200	51548
Wed Apr 22 2020	1647	2721	46623	660	179	49344
Tue Apr 21 2020	847	2567	45130	629	160	47697
Mon Apr 20 2020	1134	2470	44380	602	143	46850
Sun Apr 19 2020	1448	2356	43360	574	134	45716
Sat Apr 18 2020	1215	2213	42055	561	121	44268
Fri Apr 17 2020	1378	2071	40982	518	111	43053
Thu Apr 16 2020	1433	1912	39763	475	94	41675
Wed Apr 15 2020	1001	1809	38433	445	87	40242
Tue Apr 14 2020	814	1695	37546	405	79	39241
Mon Apr 13 2020	3023	1650	36777	361	70	38427
Sat Apr 11 2020	1510	1427	33977	340	64	35404
Fri Apr 10 2020	1600	1336	32558	317	57	33894
Thu Apr 9 2020	1541	1242	31052	293	50	32294
Wed Apr 8 2020	1493	1154	29599	271	39	30753
Tue Apr 7 2020	1132	1069	28191	242	34	29260
Mon Apr 6 2020	1351	986	27142	223	30	28128
Sun Apr 5 2020	1354	935	25842	202	29	26777
Sat Apr 4 2020	1196	865	24558	180	24	25423
Fri Apr 3 2020	1833	789	23438	156	22	24227
Thu Apr 2 2020	1203	742	21652	138	18	22394
Wed Apr 1 2020	1411	689	20502	122	17	21191
Tue Mar 31 2020	958	629	19151	112	12	19780
Mon Mar 30 2020	1165	576	18246	92	10	18822
Sun Mar 29 2020	1528	503	17154	75	9	17657
Sat Mar 28 2020	2126	441	15688	57	5	16129
Fri Mar 27 2020	1053	398	13605	51	4	14003
Thu Mar 26 2020	1475	346	12604	41	2	12950
Wed Mar 25 2020	5663	287	11188	35	1	11475
Tue Mar 24 2020	1066	262	5550	21	1	5812
Mon Mar 23 2020	66	235	4511	17	1	4746
Sun Mar 22 2020	590	169	4511	12	1	4680
Sat Mar 21 2020	234	138	3952	0	1	4090
Fri Mar 20 2020	818	115	3741	0	0	3856
Thu Mar 19 2020	276	89	2949	0	0	3038
Wed Mar 18 2020	426	77	2685	0	0	2762
Tue Mar 17 2020	443	60	2276	0	0	2336
Mon Mar 16 2020	471	54	1839	0	0	1893
Sun Mar 15 2020	554	35	1387	0	0	1422
