Date,New Tests,Positive,Negative,Hospitalized,Deaths,Total,Date
06/03/20,61642,374085,1855388,89995,24079,2229473,06/03/20
06/02/20,54054,373040,1794791,89861,24023,2167831,06/02/20
06/01/20,49952,371711,1742066,89703,23959,2113777,06/01/20
05/31/20,58444,370770,1693055,89590,23905,2063825,05/31/20
05/30/20,61251,369660,1635721,89400,23848,2005381,05/30/20
05/29/20,67341,368284,1575846,89194,23780,1944130,05/29/20
05/28/20,65245,366733,1510056,89042,23722,1876789,05/28/20
05/27/20,37416,364965,1446579,88866,23643,1811544,05/27/20
05/26/20,34679,363836,1410292,88686,23564,1774128,05/26/20
05/25/20,39623,362764,1376685,88554,23488,1739449,05/25/20
05/24/20,47765,361515,1338311,88324,23391,1699826,05/24/20
05/23/20,51268,359926,1292135,88083,23282,1652061,05/23/20
05/22/20,45738,358154,1242639,87843,23195,1600793,05/22/20
05/21/20,49219,356458,1198597,87638,23083,1555055,05/21/20
05/20/20,38097,354370,1151466,87459,22976,1505836,05/20/20
05/19/20,28182,352845,1114894,87169,22843,1467739,05/19/20
05/18/20,26161,351371,1088186,86901,22729,1439557,05/18/20
05/17/20,34679,350121,1063275,86575,22619,1413396,05/17/20
05/16/20,40669,348232,1030485,86207,22478,1378717,05/16/20
05/15/20,39291,345813,992235,85782,22304,1338048,05/15/20
05/14/20,39850,343051,955706,85454,22170,1298757,05/14/20
05/13/20,33794,340661,918246,85008,22013,1258907,05/13/20
05/12/20,20462,338485,886628,84489,21845,1225113,05/12/20
05/11/20,21653,337055,867596,84194,21640,1204651,05/11/20
05/10/20,29230,335395,847603,83761,21478,1182998,05/10/20
05/09/20,32225,333122,820646,83285,21271,1153768,05/09/20
05/08/20,31627,330407,791136,82730,21045,1121543,05/08/20
05/07/20,33995,327649,762267,82197,20828,1089916,05/07/20
05/06/20,27022,323978,731943,81570,19877,1055921,05/06/20
05/05/20,21589,321192,707707,80918,19645,1028899,05/05/20
05/04/20,21399,318953,688357,80376,19415,1007310,05/04/20
05/03/20,26840,316415,669496,79768,19189,985911,05/03/20
05/02/20,31633,312977,646094,78942,18909,959071,05/02/20
05/01/20,26802,308314,619124,78224,18610,927438,05/01/20
04/30/20,28155,304372,596264,77400,18321,900636,04/30/20
04/29/20,27487,299691,572790,76450,18015,872481,04/29/20
04/28/20,18899,295106,549888,75362,17638,844994,04/28/20
04/27/20,20745,291996,534099,74602,17303,826095,04/27/20
04/26/20,27782,288045,517305,73540,16966,805350,04/26/20
04/25/20,46912,282143,495425,72444,16599,777568,04/25/20
04/24/20,34736,271590,459066,71373,16162,730656,04/24/20
04/23/20,25938,263460,432460,70182,15740,695920,04/23/20
04/22/20,20657,257216,412766,68773,15302,669982,04/22/20
04/21/20,15464,251690,397635,67271,14828,649325,04/21/20
04/20/20,16306,247512,386349,65969,14347,633861,04/20/20
04/19/20,21023,242786,374769,64550,13869,617555,04/19/20
04/18/20,23309,236732,359800,63103,13362,596532,04/18/20
04/17/20,22644,229642,343581,61120,12822,573223,04/17/20
04/16/20,24567,222284,328295,59052,12192,550579,04/16/20
04/15/20,26869,213779,312233,56968,11586,526012,04/15/20
04/14/20,20786,202208,296935,54653,10834,499143,04/14/20
04/13/20,16756,195031,283326,52936,10056,478357,04/13/20
04/12/20,20621,188694,272907,50919,9385,461601,04/12/20
04/11/20,23095,180458,260522,48297,8627,440980,04/11/20
04/10/20,26336,170512,247373,45768,7844,417885,04/10/20
04/09/20,26396,159937,231612,42852,7067,391549,04/09/20
04/08/20,25095,149316,215837,39982,6268,365153,04/08/20
04/07/20,19247,138863,201195,36932,5489,340058,04/07/20
04/06/20,18531,130689,190122,34377,4758,320811,04/06/20
04/05/20,18659,122031,180249,32293,4159,302280,04/05/20
04/04/20,23101,113704,169917,29471,3565,283621,04/04/20
04/03/20,21555,102863,157657,26210,2935,260520,04/03/20
04/02/20,18085,92381,146584,22786,2373,238965,04/02/20
04/01/20,15694,83712,137168,19929,1941,220880,04/01/20
03/31/20,18718,75795,129391,17085,1550,205186,03/31/20
03/30/20,14108,66497,119971,14578,1218,186468,03/30/20
03/29/20,16426,59513,112847,12695,965,172360,03/29/20
03/28/20,10181,52318,103616,10454,728,155934,03/28/20
03/27/20,23649,44635,101118,8732,519,145753,03/27/20
03/26/20,18625,37258,84846,6921,385,122104,03/26/20
03/25/20,12209,30811,72668,5126,285,103479,03/25/20
03/24/20,12981,25665,65605,4041,210,91270,03/24/20
03/23/20,16888,20875,57414,3125,114,78289,03/23/20
03/22/20,15964,15168,46233,2354,114,61401,03/22/20
03/21/20,13010,10356,35081,1531,44,45437,03/21/20
03/20/20,10143,7102,25325,0,35,32427,03/20/20
03/19/20,7687,4152,18132,0,12,22284,03/19/20
03/18/20,7391,2382,12215,0,12,14597,03/18/20
03/17/20,1713,1700,5506,0,7,7206,03/17/20
03/16/20,221,950,4543,0,7,5493,03/16/20
03/15/20,1969,729,4543,0,3,5272,03/15/20
03/14/20,103,524,2779,0,0,3303,03/14/20
