Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	11494	39575	462309	6693	2457	501884
Tue Jun 9 2020	13572	39162	451228	6620	2421	490390
Mon Jun 8 2020	7794	38837	437981	6550	2404	476818
Sun Jun 7 2020	10498	38476	430548	6497	2377	469024
Sat Jun 6 2020	12331	38111	420415	6460	2370	458526
Fri Jun 5 2020	8944	37758	408437	6385	2355	446195
Thu Jun 4 2020	11146	37282	399969	6312	2339	437251
Wed Jun 3 2020	16197	36792	389313	6251	2299	426105
Tue Jun 2 2020	11842	36350	373558	6176	2258	409908
Mon Jun 1 2020	7158	35984	362082	6112	2206	398066
Sun May 31 2020	8961	35513	355395	6049	2155	390908
Sat May 30 2020	12057	35034	346913	6011	2149	381947
Fri May 29 2020	9878	34566	335324	5947	2131	369890
Thu May 28 2020	10287	33915	326097	5811	2098	360012
Wed May 27 2020	10325	33439	316286	5700	2044	349725
Tue May 26 2020	9066	33006	306394	5579	2002	339400
Mon May 25 2020	5781	32477	297857	5511	1987	330334
Sun May 24 2020	8059	31911	292642	5476	1969	324553
Sat May 23 2020	8694	31408	285086	5437	1956	316494
Fri May 22 2020	8722	30794	277006	5379	1872	307800
Thu May 21 2020	9550	30167	268911	5295	1836	299078
Wed May 20 2020	11926	29436	260092	5198	1781	289528
Tue May 19 2020	5753	28952	248650	5117	1720	277602
Mon May 18 2020	7387	28454	243395	4998	1657	271849
Sun May 17 2020	17760	27923	236539	4921	1625	264462
Sat May 16 2020	520	27474	219228	4870	1610	246702
Fri May 15 2020	12830	26954	219228	4791	1581	246182
Thu May 14 2020	7498	26357	206995	4718	1534	233352
Wed May 13 2020	8123	25721	200133	4618	1483	225854
Tue May 12 2020	7201	25250	192481	4539	1436	217731
Mon May 11 2020	5668	24777	185753	4413	1357	210530
Sun May 10 2020	8192	24081	180781	4351	1341	204862
Sat May 9 2020	12354	23697	172973	4300	1331	196670
Fri May 8 2020	8257	23016	161300	4218	1306	184316
Thu May 7 2020	7130	22131	153928	4140	1271	176059
Wed May 6 2020	8194	21576	147353	4052	1225	168929
Tue May 5 2020	5580	20969	139766	3956	1135	160735
Mon May 4 2020	4989	20474	134681	3809	1056	155155
Sun May 3 2020	4347	19914	130252	3769	1038	150166
Sat May 2 2020	5313	19335	126484	3712	1021	145819
Fri May 1 2020	6616	18743	121763	3634	1002	140506
Thu Apr 30 2020	4982	18027	115863	3533	975	133890
Wed Apr 29 2020	6202	17303	111605	3421	937	128908
Tue Apr 28 2020	6320	16325	106578	3340	799	122706
Sun Apr 26 2020	4403	15963	100423	3178	728	116386
Sat Apr 25 2020	4286	15587	96396	3115	711	111983
Fri Apr 24 2020	4820	15169	92528	3053	690	107697
Thu Apr 23 2020	4371	14694	88183	2960	656	102877
Wed Apr 22 2020	3792	14117	84389	2882	610	98506
Tue Apr 21 2020	3875	13725	80989	2779	557	94714
Mon Apr 20 2020	3540	12919	77920	2653	509	90839
Sun Apr 19 2020	8258	11602	75697	2565	471	87299
Sat Apr 18 2020	1115	10222	68819	2519	451	79041
Fri Apr 17 2020	3086	9107	68819	2424	418	77926
Thu Apr 16 2020	3288	8414	66426	2331	389	74840
Wed Apr 15 2020	3551	7791	63761	2237	361	71552
Tue Apr 14 2020	2889	7280	60721	2156	324	68001
Mon Apr 13 2020	1869	6975	58137	2033	274	65112
Sun Apr 12 2020	2772	6604	56639	1948	253	63243
Sat Apr 11 2020	1898	6250	54221	1859	247	60471
Fri Apr 10 2020	2588	5878	52695	1755	231	58573
Thu Apr 9 2020	2644	5512	50473	1612	213	55985
Wed Apr 8 2020	2503	5148	48193	1495	193	53341
Tue Apr 7 2020	2460	4782	46056	1354	167	50838
Mon Apr 6 2020	4622	4450	43928	1214	142	48378
Sun Apr 5 2020	1885	4043	39713	1104	119	43756
Sat Apr 4 2020	3496	3739	38132	1006	102	41871
Fri Apr 3 2020	3457	3312	35063	895	91	38375
Thu Apr 2 2020	5379	2902	32016	802	81	34918
Wed Apr 1 2020	348	2547	26992	679	65	29539
Tue Mar 31 2020	1916	2199	26992	585	55	29191
Mon Mar 30 2020	6610	1933	25342	475	39	27275
Sun Mar 29 2020	247	1653	19012	403	29	20665
Sat Mar 28 2020	269	1406	19012	344	25	20418
Fri Mar 27 2020	2833	1137	19012	276	19	20149
Thu Mar 26 2020	2552	867	16449	223	15	17316
Wed Mar 25 2020	14060	704	14060	182	10	14764
Tue Mar 24 2020	122	564	140	145	8	704
Mon Mar 23 2020	91	442	140	104	6	582
Sun Mar 22 2020	104	351	140	83	3	491
Sat Mar 21 2020	78	247	140	58	3	387
Fri Mar 20 2020	50	169	140	0	1	309
Thu Mar 19 2020	31	119	140	0	0	259
Wed Mar 18 2020	21	88	140	0	0	228
Tue Mar 17 2020	17	67	140	0	0	207
Mon Mar 16 2020	15	50	140	0	0	190
Sun Mar 15 2020	112	36	139	0	0	175
Sat Mar 14 2020	0	13	50	0	0	63
