Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	7630	28061	500766	1990	436	528827
Tue Jun 9 2020	8434	27575	493622	1974	435	521197
Mon Jun 8 2020	13995	26944	485819	1948	421	512763
Sun Jun 7 2020	7347	26381	472387	1932	418	498768
Sat Jun 6 2020	9249	26071	465350	1923	417	491421
Fri Jun 5 2020	6034	25520	456652	1893	408	482172
Thu Jun 4 2020	5359	25120	451018	1855	401	476138
Wed Jun 3 2020	8643	24822	445957	1829	388	470779
Tue Jun 2 2020	13643	24375	437761	1792	381	462136
Mon Jun 1 2020	12516	23554	424939	1767	367	448493
Sun May 31 2020	8931	23006	412971	1750	364	435977
Sat May 30 2020	5079	22566	404480	1732	364	427046
Fri May 29 2020	5978	22085	399882	1710	360	421967
Thu May 28 2020	6359	21679	394310	1689	356	415989
Wed May 27 2020	6126	21306	388324	1647	353	409630
Tue May 26 2020	7285	20965	382539	1609	343	403504
Mon May 25 2020	12643	20607	375612	1594	338	396219
Sun May 24 2020	9818	20145	363431	1583	336	383576
Sat May 23 2020	12742	19789	353969	1573	329	373758
Fri May 22 2020	433	19394	341622	1560	315	361016
Thu May 21 2020	6570	18961	341622	1539	313	360583
Wed May 20 2020	7890	18532	335481	1515	309	354013
Tue May 19 2020	8695	18378	327745	1498	305	346123
Mon May 18 2020	12148	18011	319417	1489	301	337428
Sun May 17 2020	5079	17388	307892	1482	298	325280
Sat May 16 2020	10445	17288	302913	1474	295	320201
Fri May 15 2020	7439	16970	292786	1454	290	309756
Thu May 14 2020	9400	16699	285618	1435	287	302317
Wed May 13 2020	9093	16370	276547	1388	273	292917
Tue May 12 2020	10547	16111	267713	1363	265	283824
Mon May 11 2020	11408	15544	257733	1344	251	273277
Sun May 10 2020	9121	14985	246884	1325	243	261869
Sat May 9 2020	9170	14768	237980	1319	242	252748
Fri May 8 2020	7250	14441	229137	1299	241	243578
Thu May 7 2020	9227	14096	222232	1266	237	236328
Wed May 6 2020	8239	13938	213163	1221	239	227101
Tue May 5 2020	7419	13690	205172	1156	226	218862
Mon May 4 2020	6836	13571	197872	1143	219	211443
Sun May 3 2020	8331	13177	191430	1135	210	204607
Sat May 2 2020	10144	12661	183615	1125	209	196276
Fri May 1 2020	8506	11891	174241	1113	204	186132
Thu Apr 30 2020	9077	10735	166891	1045	199	177626
Wed Apr 29 2020	6621	10366	158183	1013	195	168549
Tue Apr 28 2020	7526	10052	151876	894	188	161928
Mon Apr 27 2020	6928	9918	144484	837	184	154402
Sun Apr 26 2020	6068	9667	137807	828	181	147474
Sat Apr 25 2020	10078	9189	132217	821	178	141406
Fri Apr 24 2020	8228	8726	122602	808	168	131328
Thu Apr 23 2020	8120	8266	114834	793	170	123100
Wed Apr 22 2020	6798	7842	107138	775	166	114980
Tue Apr 21 2020	7493	7394	100788	760	157	108182
Mon Apr 20 2020	3591	7238	93451	730	152	100689
Sun Apr 19 2020	6512	7070	90028	724	148	97098
Sat Apr 18 2020	3313	6762	83824	719	145	90586
Fri Apr 17 2020	2224	6589	80684	711	142	87273
Thu Apr 16 2020	4153	6262	78787	691	141	85049
Wed Apr 15 2020	2065	6079	74817	663	135	80896
Tue Apr 14 2020	2636	5823	73008	633	124	78831
Mon Apr 13 2020	5518	5610	70585	579	109	76195
Sun Apr 12 2020	3849	5308	65369	567	101	70677
Sat Apr 11 2020	4029	5114	61714	556	101	66828
Fri Apr 10 2020	2950	4862	57937	536	98	62799
Thu Apr 9 2020	3231	4634	55215	505	94	59849
Wed Apr 8 2020	3744	4362	52256	449	79	56618
Tue Apr 7 2020	5524	4138	48736	408	72	52874
Mon Apr 6 2020	2050	3802	43548	352	65	47350
Sun Apr 5 2020	3909	3633	41667	328	44	45300
Sat Apr 4 2020	3552	3321	38070	311	43	41391
Fri Apr 3 2020	3228	3067	34772	293	37	37839
Thu Apr 2 2020	2159	2845	31766	263	32	34611
Wed Apr 1 2020	5092	2683	29769	200	24	32452
Tue Mar 31 2020	4056	2239	25121	175	23	27360
Mon Mar 30 2020	2730	1834	21470	148	13	23304
Sun Mar 29 2020	2236	1537	19037	133	7	20574
Sat Mar 28 2020	2247	1373	16965	118	6	18338
Fri Mar 27 2020	1182	1203	14888	103	6	16091
Thu Mar 26 2020	3113	957	13952	76	3	14909
Wed Mar 25 2020	612	784	11012	53	3	11796
Tue Mar 24 2020	7297	667	10517	0	2	11184
Mon Mar 23 2020	110	615	3272	0	2	3887
Sun Mar 22 2020	134	505	3272	0	0	3777
Sat Mar 21 2020	2852	371	3272	0	0	3643
Fri Mar 20 2020	288	228	563	0	0	791
Thu Mar 19 2020	56	154	349	0	0	503
Wed Mar 18 2020	44	98	349	0	0	447
