Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	7508	52177	346187	7981	1514	398364
Tue Jun 9 2020	7264	51738	339118	7846	1496	390856
Mon Jun 8 2020	3776	51251	332341	7730	1477	383592
Sun Jun 7 2020	8685	50681	329135	7724	1472	379816
Sat Jun 6 2020	17541	49397	321734	7597	1460	371131
Thu Jun 4 2020	11203	47856	305734	7550	1445	353590
Wed Jun 3 2020	13498	46905	295482	7476	1428	342387
Tue Jun 2 2020	4170	46239	282650	7373	1407	328889
Mon Jun 1 2020	13498	45398	279321	7326	1392	324719
Sat May 30 2020	7135	43611	261901	7216	1370	305512
Fri May 29 2020	11096	42533	255844	7172	1358	298377
Thu May 28 2020	10234	41401	245880	6974	1338	287281
Wed May 27 2020	9866	40249	236798	6826	1281	277047
Tue May 26 2020	8431	39342	227839	6630	1236	267181
Mon May 25 2020	14665	37727	221023	6521	1208	258750
Sun May 24 2020	11615	36244	207841	6453	1171	244085
Sat May 23 2020	7295	35749	196721	6431	1159	232470
Fri May 22 2020	6576	34950	190225	6422	1136	225175
Thu May 21 2020	5973	34137	184462	6269	1099	218599
Wed May 20 2020	9837	32908	179718	6059	1074	212626
Tue May 19 2020	6563	32145	170644	5768	1041	202789
Mon May 18 2020	5865	31140	165086	5609	1014	196226
Sun May 17 2020	4793	30388	159973	5517	1009	190361
Sat May 16 2020	7554	29683	155885	5414	1002	185568
Fri May 15 2020	11184	28672	149342	5316	977	178014
Thu May 14 2020	5438	27813	139017	5211	955	166830
Wed May 13 2020	6063	26746	134646	5080	927	161392
Tue May 12 2020	4712	25800	129529	4929	891	155329
Mon May 11 2020	7562	25070	125547	4777	850	150617
Sun May 10 2020	5906	24081	118974	4756	839	143055
Sat May 9 2020	7204	23196	113953	4717	827	137149
Fri May 8 2020	6793	22342	107603	4622	812	129945
Thu May 7 2020	9444	21570	101582	4438	769	123152
Tue May 5 2020	1415	20256	93452	4113	713	113708
Mon May 4 2020	4291	19492	92801	4010	684	112293
Sun May 3 2020	5906	18671	89331	3910	660	108002
Sat May 2 2020	10587	17731	84365	3738	616	102096
Thu Apr 30 2020	5569	15846	75663	3654	552	91509
Wed Apr 29 2020	2642	14961	70979	3608	522	85940
Tue Apr 28 2020	2619	14339	68959	3422	492	83298
Mon Apr 27 2020	4079	13535	67144	3298	458	80679
Sun Apr 26 2020	3958	12970	63630	2014	448	76600
Sat Apr 25 2020	3202	12366	60276	1942	436	72642
Fri Apr 24 2020	4551	11594	57846	1837	410	69440
Thu Apr 23 2020	4111	10998	53891	1753	372	64889
Wed Apr 22 2020	2424	10266	50512	1659	349	60778
Tue Apr 21 2020	1619	9630	48724	1581	324	58354
Mon Apr 20 2020	2002	8990	47745	1500	300	56735
Sun Apr 19 2020	2802	8537	46196	1422	277	54733
Sat Apr 18 2020	2934	8053	43878	1296	258	51931
Fri Apr 17 2020	2553	7491	41506	1221	231	48997
Thu Apr 16 2020	2275	6889	39555	1114	208	46444
Wed Apr 15 2020	8710	6500	37669	1048	195	44169
Fri Apr 10 2020	2433	4509	30950	772	121	35459
Thu Apr 9 2020	2381	4042	28984	685	109	33026
Wed Apr 8 2020	2000	3645	27000	615	75	30645
Tue Apr 7 2020	4124	3333	25312	563	63	28645
Mon Apr 6 2020	850	2878	21643	497	54	24521
Sun Apr 5 2020	2119	2637	21034	431	51	23671
Sat Apr 4 2020	2547	2407	19145	390	52	21552
Fri Apr 3 2020	1416	2012	16993	312	46	19005
Thu Apr 2 2020	4188	1706	15883	305	41	17589
Tue Mar 31 2020	1363	1250	12151	165	27	13401
Mon Mar 30 2020	1429	1020	11018	136	25	12038
Sun Mar 29 2020	1443	890	9719	112	22	10609
Sat Mar 28 2020	1829	739	8427	99	17	9166
Fri Mar 27 2020	1148	604	6733	83	14	7337
Thu Mar 26 2020	819	460	5729	65	13	6189
Wed Mar 25 2020	900	391	4979	59	9	5370
Tue Mar 24 2020	773	290	4180	45	7	4470
Mon Mar 23 2020	360	254	3443	38	6	3697
Sun Mar 22 2020	547	219	3118	32	3	3337
Sat Mar 21 2020	465	152	2638	25	2	2790
Fri Mar 20 2020	402	114	2211	0	2	2325
Thu Mar 19 2020	645	94	1829	0	2	1923
Wed Mar 18 2020	250	77	1201	0	1	1278
Tue Mar 17 2020	539	67	961	0	1	1028
Mon Mar 16 2020	81	51	438	0	1	489
Sun Mar 15 2020	261	45	363	0	1	408
Sat Mar 14 2020	0	30	117	0	0	147
