Date	New Tests	Positive	Negative	Hospitalized	Deaths	Total
Wed Jun 10 2020	10187	21593	357112	2943	671	378705
Tue Jun 9 2020	14227	21308	347210	2904	661	368518
Mon Jun 8 2020	7589	21038	333253	2860	646	354291
Sun Jun 7 2020	11329	20835	325867	2848	647	346702
Sat Jun 6 2020	11792	20571	314802	2832	645	335373
Fri Jun 5 2020	12322	20249	303332	2791	633	323581
Thu Jun 4 2020	12148	19892	291367	2739	626	311259
Wed Jun 3 2020	16451	19400	279711	2700	616	299111
Tue Jun 2 2020	10522	18917	263743	2643	607	282660
Mon Jun 1 2020	3632	18543	253595	2603	595	272138
Sun May 31 2020	7368	18403	250103	2583	592	268506
Sat May 30 2020	9843	18230	242908	2563	588	261138
Fri May 29 2020	13602	17707	233588	2499	568	251295
Thu May 28 2020	10626	16974	220719	2452	550	237693
Wed May 27 2020	10330	16462	210605	2411	539	227067
Tue May 26 2020	7774	15863	200874	2362	517	216737
Mon May 25 2020	7480	15584	193379	2339	514	208963
Sun May 24 2020	7277	15277	186206	2315	510	201483
Sat May 23 2020	7107	14877	179329	2292	507	194206
Fri May 22 2020	9976	14396	172703	2259	496	187099
Thu May 21 2020	9410	13885	163238	2218	487	177123
Wed May 20 2020	6591	13413	154300	2161	481	167713
Tue May 19 2020	3933	12885	148237	2110	467	161122
Mon May 18 2020	4972	12687	144502	2068	459	157189
Sun May 17 2020	5824	12543	139674	2038	453	152217
Sat May 16 2020	6051	12187	134206	2018	453	146393
Fri May 15 2020	6469	11685	128657	1977	445	140342
Thu May 14 2020	5860	11275	122598	1939	434	133873
Wed May 13 2020	4654	10902	117111	1908	421	128013
Tue May 12 2020	4908	10611	112748	1877	418	123359
Mon May 11 2020	3069	10418	108033	1846	409	118451
Sun May 10 2020	3508	10219	105163	1820	400	115382
Sat May 9 2020	5019	9939	101935	1806	398	111874
Fri May 8 2020	4605	9590	97265	1767	384	106855
Thu May 7 2020	5523	9215	93035	1732	374	102250
Wed May 6 2020	4194	8901	87826	1694	362	96727
Tue May 5 2020	3830	8566	83967	1663	353	92533
Mon May 4 2020	2742	8236	80467	1621	340	88703
Sun May 3 2020	2731	7964	77997	1608	339	85961
Sat May 2 2020	3350	7660	75570	1591	334	83230
Fri May 1 2020	3632	7314	72566	1544	327	79880
Thu Apr 30 2020	3098	6854	69394	1512	316	76248
Wed Apr 29 2020	3326	6520	66630	1489	308	73150
Tue Apr 28 2020	2432	6289	63535	1456	300	69824
Mon Apr 27 2020	2246	6081	61311	1415	281	67392
Sun Apr 26 2020	2321	5911	59235	1397	272	65146
Sat Apr 25 2020	2896	5687	57138	1376	266	62825
Fri Apr 24 2020	3421	5356	54573	1353	262	59929
Thu Apr 23 2020	2161	5052	51456	1318	257	56508
Wed Apr 22 2020	1886	4845	49502	1302	246	54347
Tue Apr 21 2020	1359	4620	47841	1252	242	52461
Mon Apr 20 2020	1433	4499	46603	1211	230	51102
Sun Apr 19 2020	1508	4346	45323	1190	220	49669
Sat Apr 18 2020	1751	4199	43962	1176	211	48161
Fri Apr 17 2020	1561	4045	42365	1153	205	46410
Thu Apr 16 2020	1802	3875	40974	1121	197	44849
Wed Apr 15 2020	1495	3721	39326	1091	182	43047
Tue Apr 14 2020	1355	3555	37997	1049	170	41552
Mon Apr 13 2020	940	3428	36769	993	154	40197
Sun Apr 12 2020	1364	3341	35916	974	144	39257
Sat Apr 11 2020	1600	3213	34680	950	137	37893
Fri Apr 10 2020	1984	3068	33225	904	128	36293
Thu Apr 9 2020	1438	2885	31424	843	111	34309
Wed Apr 8 2020	1781	2756	30115	790	99	32871
Tue Apr 7 2020	2076	2578	28512	745	92	31090
Mon Apr 6 2020	1578	2440	26574	668	77	29014
Sun Apr 5 2020	1465	2267	25169	624	68	27436
Sat Apr 4 2020	1682	2112	23859	588	56	25971
Fri Apr 3 2020	2242	1912	22377	487	37	24289
Thu Apr 2 2020	1678	1730	20317	461	31	22047
Wed Apr 1 2020	1643	1550	18819	398	24	20369
Tue Mar 31 2020	1064	1351	17375	337	16	18726
Sun Mar 29 2020	1441	1112	16550	0	13	17662
Sat Mar 28 2020	2239	989	15232	0	13	16221
Fri Mar 27 2020	1692	842	13140	0	13	13982
Thu Mar 26 2020	1616	707	11583	0	8	12290
Wed Mar 25 2020	1980	585	10089	0	7	10674
Tue Mar 24 2020	1228	457	8237	0	5	8694
Mon Mar 23 2020	851	416	7050	0	5	7466
